ix,race_id,driver_id,lap,position,time,milliseconds
299999,67,14,26,13,1:25.802,85802
300000,67,14,27,13,1:25.338,85338
300001,67,14,28,13,1:25.395,85395
300002,67,14,29,12,1:26.191,86191
300003,67,14,30,11,1:25.439,85439
300004,67,14,31,10,1:25.375,85375
300005,67,14,32,12,1:28.219,88219
300006,67,14,33,13,1:49.156,109156
300007,67,14,34,13,1:25.128,85128
300008,67,14,35,13,1:25.351,85351
300009,67,14,36,13,1:26.417,86417
300010,67,14,37,13,1:25.519,85519
300011,67,14,38,13,1:26.385,86385
300012,67,14,39,13,1:25.299,85299
300013,67,14,40,13,1:25.266,85266
300014,67,14,41,13,1:25.232,85232
300015,67,14,42,13,1:25.392,85392
300016,67,14,43,13,1:26.130,86130
300017,67,14,44,12,1:25.576,85576
300018,67,14,45,12,1:26.304,86304
300019,67,14,46,12,1:26.831,86831
300020,67,14,47,12,1:26.035,86035
300021,67,14,48,12,1:26.612,86612
300022,67,14,49,12,1:25.428,85428
300023,67,14,50,12,1:25.139,85139
300024,67,14,51,12,1:24.984,84984
300025,67,14,52,12,1:25.552,85552
300026,67,32,1,18,1:37.796,97796
300027,67,32,2,18,1:28.623,88623
300028,67,32,3,18,1:27.487,87487
300029,67,32,4,18,1:27.486,87486
300030,67,32,5,18,1:26.993,86993
300031,67,32,6,18,1:26.800,86800
300032,67,32,7,18,1:26.273,86273
300033,67,32,8,18,1:25.825,85825
300034,67,32,9,17,1:26.090,86090
300035,67,32,10,17,1:25.782,85782
300036,67,32,11,17,1:25.866,85866
300037,67,32,12,17,1:25.916,85916
300038,67,32,13,17,1:25.632,85632
300039,67,32,14,17,1:26.131,86131
300040,67,32,15,17,1:26.342,86342
300041,67,32,16,17,1:25.328,85328
300042,67,32,17,17,1:25.564,85564
300043,67,32,18,17,1:26.010,86010
300044,67,32,19,17,1:25.440,85440
300045,67,32,20,17,1:25.343,85343
300046,67,32,21,16,1:25.663,85663
300047,67,32,22,16,1:25.594,85594
300048,67,32,23,16,1:25.124,85124
300049,67,32,24,16,1:25.145,85145
300050,67,32,25,16,1:25.065,85065
300051,67,32,26,16,1:25.468,85468
300052,67,32,27,16,1:25.620,85620
