ix,race_id,driver_id,lap,position,time,milliseconds
0,841,20,1,1,1:38.109,98109
1,841,20,2,1,1:33.006,93006
2,841,20,3,1,1:32.713,92713
3,841,20,4,1,1:32.803,92803
4,841,20,5,1,1:32.342,92342
5,841,20,6,1,1:32.605,92605
6,841,20,7,1,1:32.502,92502
7,841,20,8,1,1:32.537,92537
8,841,20,9,1,1:33.240,93240
9,841,20,10,1,1:32.572,92572
10,841,20,11,1,1:32.669,92669
11,841,20,12,1,1:32.902,92902
12,841,20,13,1,1:33.698,93698
13,841,20,14,3,1:52.075,112075
14,841,20,15,4,1:38.385,98385
15,841,20,16,2,1:31.548,91548
16,841,20,17,1,1:30.800,90800
17,841,20,18,1,1:31.810,91810
18,841,20,19,1,1:31.018,91018
19,841,20,20,1,1:31.055,91055
20,841,20,21,1,1:31.288,91288
21,841,20,22,1,1:31.084,91084
22,841,20,23,1,1:30.875,90875
23,841,20,24,1,1:32.240,92240
24,841,20,25,1,1:31.699,91699
25,841,20,26,1,1:31.328,91328
26,841,20,27,1,1:31.568,91568
27,841,20,28,1,1:31.113,91113
28,841,20,29,1,1:31.339,91339
29,841,20,30,1,1:31.054,91054
30,841,20,31,1,1:31.707,91707
31,841,20,32,1,1:31.611,91611
32,841,20,33,1,1:31.406,91406
33,841,20,34,1,1:31.871,91871
34,841,20,35,1,1:32.597,92597
35,841,20,36,1,1:53.737,113737
36,841,20,37,1,1:39.321,99321
37,841,20,38,1,1:33.632,93632
38,841,20,39,1,1:31.005,91005
39,841,20,40,1,1:30.530,90530
40,841,20,41,1,1:30.140,90140
41,841,20,42,1,1:30.419,90419
42,841,20,43,1,1:30.503,90503
43,841,20,44,1,1:29.844,89844
44,841,20,45,1,1:30.470,90470
45,841,20,46,1,1:30.669,90669
46,841,20,47,1,1:30.297,90297
47,841,20,48,1,1:30.471,90471
48,841,20,49,1,1:30.710,90710
49,841,20,50,1,1:30.732,90732
50,841,20,51,1,1:30.873,90873
51,841,20,52,1,1:31.087,91087
52,841,20,53,1,1:30.671,90671
53,841,20,54,1,1:30.656,90656
54,841,20,55,1,1:30.899,90899
55,841,20,56,1,1:29.962,89962
