ix,race_id,driver_id,lap,position,time,milliseconds
99999,933,830,47,7,1:12.976,72976
100000,933,830,48,7,1:13.108,73108
100001,933,830,49,7,1:12.972,72972
100002,933,830,50,7,1:12.767,72767
100003,933,830,51,7,1:13.248,73248
100004,933,830,52,7,1:12.829,72829
100005,933,830,53,7,1:12.820,72820
100006,933,830,54,7,1:12.977,72977
100007,933,830,55,7,1:12.694,72694
100008,933,830,56,7,1:12.604,72604
100009,933,830,57,7,1:12.528,72528
100010,933,830,58,7,1:12.709,72709
100011,933,830,59,7,1:13.021,73021
100012,933,830,60,7,1:13.035,73035
100013,933,830,61,7,1:12.774,72774
100014,933,830,62,7,1:12.494,72494
100015,933,830,63,7,1:12.464,72464
100016,933,830,64,7,1:12.349,72349
100017,933,830,65,7,1:12.751,72751
100018,933,830,66,7,1:13.444,73444
100019,933,830,67,7,1:13.420,73420
100020,933,830,68,7,1:13.219,73219
100021,933,830,69,8,1:16.362,76362
100022,933,830,70,8,1:14.303,74303
100023,933,822,1,7,1:39.657,99657
100024,933,822,2,7,2:18.218,138218
100025,933,822,3,7,2:04.035,124035
100026,933,822,4,7,1:59.005,119005
100027,933,822,5,7,1:52.664,112664
100028,933,822,6,7,1:46.724,106724
100029,933,822,7,7,1:16.416,76416
100030,933,822,8,7,1:14.847,74847
100031,933,822,9,7,1:13.599,73599
100032,933,822,10,7,1:13.480,73480
100033,933,822,11,7,1:13.603,73603
100034,933,822,12,7,1:13.438,73438
100035,933,822,13,7,1:13.128,73128
100036,933,822,14,7,1:13.545,73545
100037,933,822,15,6,1:13.430,73430
100038,933,822,16,6,1:13.080,73080
100039,933,822,17,6,1:13.130,73130
100040,933,822,18,6,1:13.089,73089
100041,933,822,19,6,1:13.154,73154
100042,933,822,20,6,1:13.092,73092
100043,933,822,21,6,1:13.430,73430
100044,933,822,22,6,1:12.973,72973
100045,933,822,23,6,1:13.327,73327
100046,933,822,24,6,1:13.311,73311
100047,933,822,25,5,1:12.940,72940
100048,933,822,26,5,1:16.073,76073
100049,933,822,27,8,1:32.071,92071
100050,933,822,28,8,1:13.100,73100
100051,933,822,29,8,1:12.998,72998
100052,933,822,30,8,1:12.674,72674
100053,933,822,31,8,1:12.619,72619
100054,933,822,32,8,1:12.849,72849
100055,933,822,33,8,1:13.006,73006
100056,933,822,34,8,1:13.389,73389
100057,933,822,35,7,1:13.398,73398
100058,933,822,36,7,1:14.611,74611
100059,933,822,37,6,1:13.357,73357
100060,933,822,38,5,1:14.324,74324
100061,933,822,39,5,1:13.119,73119
100062,933,822,40,5,1:12.916,72916
100063,933,822,41,5,1:13.191,73191
100064,933,822,42,5,1:12.809,72809
100065,933,822,43,5,1:12.746,72746
100066,933,822,44,5,1:12.506,72506
100067,933,822,45,5,1:12.892,72892
100068,933,822,46,5,1:13.469,73469
100069,933,822,47,5,1:12.682,72682
