ix,race_id,driver_id,lap,position,time,milliseconds
400137,963,3,46,3,1:37.667,97667
400138,963,3,47,3,1:37.428,97428
400139,963,3,48,3,1:37.918,97918
400140,963,3,49,3,1:37.047,97047
400141,963,3,50,3,1:37.208,97208
400142,963,3,51,3,1:36.914,96914
400143,963,3,52,3,1:37.589,97589
400144,963,3,53,3,1:38.215,98215
400145,963,3,54,3,1:37.881,97881
400146,963,3,55,3,1:37.867,97867
400147,963,3,56,3,1:38.056,98056
400148,963,826,1,18,2:27.144,147144
400149,963,826,2,19,2:20.642,140642
400150,963,826,3,19,1:42.663,102663
400151,963,826,4,19,1:43.142,103142
400152,963,826,5,19,1:43.572,103572
400153,963,826,6,19,1:42.984,102984
400154,963,826,7,18,1:43.399,103399
400155,963,826,8,17,1:47.906,107906
400156,963,826,9,17,2:19.460,139460
400157,963,826,10,16,1:58.018,118018
400158,963,826,11,16,1:43.306,103306
400159,963,826,12,16,1:43.049,103049
400160,963,826,13,15,1:42.769,102769
400161,963,826,14,15,1:42.984,102984
400162,963,826,15,15,1:43.014,103014
400163,963,826,16,15,1:43.101,103101
400164,963,826,17,15,1:42.327,102327
400165,963,826,18,15,1:42.808,102808
400166,963,826,19,15,1:42.754,102754
400167,963,826,20,15,1:42.882,102882
400168,963,826,21,15,1:42.435,102435
400169,963,826,22,15,1:43.286,103286
400170,963,826,23,15,1:42.528,102528
400171,963,826,24,15,1:43.169,103169
400172,963,826,25,15,1:42.904,102904
400173,963,826,26,15,1:42.591,102591
400174,963,826,27,15,1:43.013,103013
400175,963,826,28,15,1:43.439,103439
400176,963,826,29,15,1:46.920,106920
400177,963,826,30,18,2:01.945,121945
400178,963,826,31,17,1:40.907,100907
400179,963,826,32,15,1:40.980,100980
400180,963,826,33,15,1:41.505,101505
400181,963,826,34,15,1:41.782,101782
400182,963,826,35,15,1:43.547,103547
400183,963,826,36,15,1:41.095,101095
400184,963,826,37,15,1:41.227,101227
400185,963,826,38,15,1:41.087,101087
400186,963,826,39,15,1:41.040,101040
400187,963,826,40,15,2:23.608,143608
